Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Global,13,central,42,-1.0000000000000142,64,7,0.8205128205128205,9.846153846153847,12,0.9017871017871018,1,1.1794871794871795
Global,13,central,43,-0.0247250099645413,65,7,0.8333333333333334,10.0,12,0.8934731934731934,1,1.1666666666666667
Global,13,central,44,-1.0927022878312869,61,7,0.782051282051282,9.384615384615385,12,0.8485125985125984,1,1.2179487179487178
Global,13,central,45,-0.01482440223438175,63,7,0.8076923076923077,9.692307692307692,12,0.88997668997669,1,1.1923076923076923
Global,13,central,46,-1.4210854715202004e-14,62,7,0.7948717948717948,9.538461538461538,12,0.88970473970474,1,1.205128205128205
Global,13,central,47,1.4210854715202004e-14,62,7,0.7948717948717948,9.538461538461538,12,0.8851981351981352,1,1.205128205128205
Global,13,central,48,-1.0148244022343818,64,7,0.8205128205128205,9.846153846153847,12,0.9005439005439004,1,1.1794871794871795
Global,13,central,49,0.0,63,7,0.8076923076923077,9.692307692307692,12,0.8911421911421912,1,1.1923076923076923
Global,14,complete,0,-2.842170943040401e-14,76,8,0.8351648351648352,10.857142857142858,13,0.9011322011322012,1,1.164835164835165
Global,14,complete,1,-2.842170943040401e-14,81,9,0.8901098901098901,11.571428571428571,13,0.9213286713286715,1,1.10989010989011
Global,14,complete,2,-2.842170943040401e-14,78,9,0.8571428571428571,11.142857142857142,13,0.9114718614718615,1,1.1428571428571428
Global,14,complete,3,-0.04619953147945921,78,8,0.8571428571428571,11.142857142857142,13,0.9028138528138528,1,1.1428571428571428
Global,14,complete,4,-0.00929521508548703,76,8,0.8351648351648352,10.857142857142858,13,0.8965145965145965,1,1.164835164835165
Global,14,complete,5,-1.0,81,9,0.8901098901098901,11.571428571428571,13,0.9072899322899322,1,1.10989010989011
Global,14,complete,6,-0.055039567648691445,78,9,0.8571428571428571,11.142857142857142,13,0.9084415584415585,1,1.1428571428571428
Global,14,complete,7,-1.0000000000000426,79,8,0.8681318681318682,11.285714285714286,13,0.8921931243359814,1,1.1318681318681318
Global,14,complete,8,-0.016129748954867296,79,8,0.8681318681318682,11.285714285714286,13,0.907925407925408,1,1.1318681318681318
Global,14,complete,9,-0.01612974895476782,80,9,0.8791208791208791,11.428571428571429,13,0.9165001665001665,1,1.120879120879121
Global,14,complete,10,-0.055039567648705656,77,8,0.8461538461538461,11.0,13,0.8994838494838495,1,1.1538461538461537
Global,14,complete,11,-0.03188121493136009,76,8,0.8351648351648352,10.857142857142858,13,0.8985347985347987,1,1.164835164835165
Global,14,complete,12,-2.842170943040401e-14,79,9,0.8681318681318682,11.285714285714286,13,0.9120879120879122,1,1.1318681318681318
Global,14,complete,13,-2.842170943040401e-14,75,8,0.8241758241758241,10.714285714285714,13,0.890942390942391,1,1.1758241758241759
Global,14,complete,14,-0.5823168207912772,78,9,0.8571428571428571,11.142857142857142,13,0.905988455988456,1,1.1428571428571428
Global,14,complete,15,-0.04619953147945921,79,9,0.8681318681318682,11.285714285714286,13,0.9116050616050616,1,1.1318681318681318
Global,14,complete,16,1.4210854715202004e-14,77,8,0.8461538461538461,11.0,13,0.9040293040293041,1,1.1538461538461537
Global,14,complete,17,-2.842170943040401e-14,79,8,0.8681318681318682,11.285714285714286,13,0.9100899100899101,1,1.1318681318681318
Global,14,complete,18,0.0,80,8,0.8791208791208791,11.428571428571429,13,0.9129204129204129,1,1.120879120879121
Global,14,complete,19,-5.684341886080802e-14,78,8,0.8571428571428571,11.142857142857142,13,0.9051948051948052,1,1.1428571428571428
Global,14,complete,20,-0.009295215085444397,77,8,0.8461538461538461,11.0,13,0.9018648018648019,1,1.1538461538461537
Global,14,complete,21,0.0,81,9,0.8901098901098901,11.571428571428571,13,0.9213286713286715,1,1.10989010989011
Global,14,complete,22,-2.842170943040401e-14,79,8,0.8681318681318682,11.285714285714286,13,0.9100899100899101,1,1.1318681318681318
Global,14,complete,23,1.4210854715202004e-14,79,8,0.8681318681318682,11.285714285714286,13,0.9100899100899101,1,1.1318681318681318
Global,14,complete,24,-0.05328238005670016,78,8,0.8571428571428571,11.142857142857142,13,0.9025974025974026,1,1.1428571428571428
Global,14,complete,25,-0.016129748954853085,80,9,0.8791208791208791,11.428571428571429,13,0.9165001665001665,1,1.120879120879121
Global,14,complete,26,-0.5713496189329703,79,9,0.8681318681318682,11.285714285714286,13,0.9086691086691088,1,1.1318681318681318
Global,14,complete,27,-0.0247250099645413,78,8,0.8571428571428571,11.142857142857142,13,0.9047619047619049,1,1.1428571428571428
Global,14,complete,28,-0.0247250099645413,75,8,0.8241758241758241,10.714285714285714,13,0.8931845931845933,1,1.1758241758241759
Global,14,complete,29,-4.263256414560601e-14,77,8,0.8461538461538461,11.0,13,0.9024642024642026,1,1.1538461538461537
Global,14,complete,30,-0.055039567648691445,78,9,0.8571428571428571,11.142857142857142,13,0.9084415584415585,1,1.1428571428571428
Global,14,complete,31,-0.016129748954824663,80,9,0.8791208791208791,11.428571428571429,13,0.9165001665001664,1,1.120879120879121
Global,14,complete,32,0.0,78,8,0.8571428571428571,11.142857142857142,13,0.9031746031746033,1,1.1428571428571428
Global,14,complete,33,-0.009295215085458608,76,8,0.8351648351648352,10.857142857142858,13,0.8965145965145965,1,1.164835164835165
Global,14,complete,34,-0.016129748954824663,80,9,0.8791208791208791,11.428571428571429,13,0.9165001665001665,1,1.120879120879121
Global,14,complete,35,-1.4210854715202004e-14,77,8,0.8461538461538461,11.0,13,0.9000111000111001,1,1.1538461538461537
Global,14,complete,36,1.4210854715202004e-14,77,8,0.8461538461538461,11.0,13,0.9000111000111001,1,1.1538461538461537
